billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
19,Roses,SAINt JHN,2020,1,3GqSdhWjmMypMwPLtzoFYs,Roses (Imanbek Remix),79,https://p.scdn.co/mp3-preview/577cd73a377297f9b7fa57d809cd270dfce8513f?cid=6a78982078cb477d900388b0470ad9ad
20,Watermelon Sugar,Harry Styles,2020,1,4vljiSAPCLIfX03BwIgRhk,Watermelon Sugar (Acoustic),52,https://p.scdn.co/mp3-preview/cf63d7dac8952452d29036b9fe44825cfda8c1b8?cid=6a78982078cb477d900388b0470ad9ad
21,Before You Go,Lewis Capaldi,2020,1,2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition),85,
22,Falling,Trevor Daniel,2020,1,0D7yJonn41qsrIQ7YdWk2z,Nicotine,77,https://p.scdn.co/mp3-preview/0d911f7650ed127fbbdd7ec6a44ec5d642d1896a?cid=6a78982078cb477d900388b0470ad9ad
23,"10,000 Hours",Dan + Shay & Justin Bieber,2020,1,7L8IHgiomfEpxOm61vgPTm,Good Things,72,https://p.scdn.co/mp3-preview/0ca349b64ab033e00df659986c9be7b0cb151fc2?cid=6a78982078cb477d900388b0470ad9ad
24,WAP,Cardi B Featuring Megan Thee Stallion,2020,1,2ogiazbrNEx0kQHGl5ZBTQ,WAP (feat. Megan Thee Stallion),78,https://p.scdn.co/mp3-preview/ad79b922940884cd57a17df2dede2c5d106d907c?cid=6a78982078cb477d900388b0470ad9ad
25,Ballin',Mustard & Roddy Ricch,2020,1,2WrNHOba5u6P9S9xEboaUy,Perfect Ten,76,
26,Hot Girl Bummer,blackbear,2020,1,4UxlLk460BnmQlRV3WiORh,everything means nothing,78,https://p.scdn.co/mp3-preview/22c354ac8d2a9354509ecb517a26fc34069600c4?cid=6a78982078cb477d900388b0470ad9ad
27,Blueberry Faygo,Lil Mosey,2020,1,6rBennOYWR1OZQnsU39PKL,Blueberry Faygo,74,
28,Heartless,The Weeknd,2020,1,4yP0hdKOZPNshxUOjY0cZj,After Hours,82,
29,BOP,DaBaby,2020,1,1NsTSXjVNE7XmZ8PmyW0wl,KIRK,76,
30,Lose You To Love Me,Selena Gomez,2020,1,3YPFaTR7WMi1Hd4NVKdCJx,Rare,80,
31,Good As Hell,Lizzo,2020,1,7hBV0wo7cDHZQLYnuOJ312,Cuz I Love You (Super Deluxe),71,https://p.scdn.co/mp3-preview/eff7853a768016bf8dbfbd33436a43393fef2d0d?cid=6a78982078cb477d900388b0470ad9ad
32,Toosie Slide,Drake,2020,1,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,69,
33,Break My Heart,Dua Lipa,2020,1,7fJJK56U9fHixgO0HQkhtI,Future Nostalgia,76,https://p.scdn.co/mp3-preview/a0078bbdb4351ec221eb7f330bd01856636601b5?cid=6a78982078cb477d900388b0470ad9ad
34,Chasin' You,Morgan Wallen,2020,1,1IR2nlwX6YVTXXeu2qzoWO,If I Know Me,81,https://p.scdn.co/mp3-preview/0f91ed4fde6bba8680c193da321bf882e09115d9?cid=6a78982078cb477d900388b0470ad9ad
35,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020,1,1XMw3pBrYeXzNXZXc84DNw,Savage Love (Laxed - Siren Beat),74,https://p.scdn.co/mp3-preview/70e9427cbf64fb1d8520366219ec79ff41d5b0a1?cid=6a78982078cb477d900388b0470ad9ad
36,No Guidance,Chris Brown Featuring Drake,2020,1,1BfLzaTFI5qKsAAk0Ae6aV,Indigo,78,https://p.scdn.co/mp3-preview/1b5fe75b6bfa48ebacdfe0ee11e8c548ee96e2f3?cid=6a78982078cb477d900388b0470ad9ad
37,My Oh My,Camila Cabello Featuring DaBaby,2020,1,3Vsbl0diFGw8HNSjG8ue9m,Romance,76,https://p.scdn.co/mp3-preview/ea3ba7014fbff5a201d98ddab8d94e13fe56bb16?cid=6a78982078cb477d900388b0470ad9ad
38,Dynamite,BTS,2020,1,6nYfHQnvkvOTNHnOhDT3sr,BE,81,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=6a78982078cb477d900388b0470ad9ad
39,Go Crazy,Chris Brown & Young Thug,2020,1,7fZKtzZAsfH0kzeTivu5TG,Slime & B,75,https://p.scdn.co/mp3-preview/5953ca484a09698a5e34c5ac585e3ecddbae8b37?cid=6a78982078cb477d900388b0470ad9ad
40,High Fashion,Roddy Ricch Featuring Mustard,2020,1,52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,70,https://p.scdn.co/mp3-preview/c317b833c4e4bcba5f0cbbdb2b9dde943eced166?cid=6a78982078cb477d900388b0470ad9ad
